id,rank,win%,k/d,dmg/rnd,region,acc_head_%,acc_head_hits,acc_body_%,acc_body_hits,acc_leg_%,acc_leg_hits,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,top_agent_nam,top_agent_time_hrs,top_agent_matchs,top_agent_win_%,top_agent_kd_avg,top_agent_adr
LF Queen 2 Spoil#Sub,Iron 3,63.6,2.27,232.5,US,28.4,357,66.7,838,4.9,61,33,25.2,19,510,1.1,Reyna,5,11,90.9,3.48,301.1
Kamiyadah#EUNE,Platinum 3,45.9,1.3,176.5,HU,24.7,323,70.4,922,5,65,302,23.4,156,"5,922",0.9,Chamber,49,85,56.5,1.46,187.5
Residentj3553#3553,Diamond 3,50,0.89,120.7,US,19.8,201,70.3,714,9.9,101,255,16.5,138,"3,456",0.7,Omen,68,120,56.7,1.04,140.2
Blackyy#Trxsh,Platinum 2,65.4,1.05,147.1,FR,9.5,136,76.1,1093,14.5,208,221,12.8,111,"3,400",0.7,KAY/O,69,117,53,1.06,151
WannaCry#HaHa,Diamond 1,43.2,1.07,154.4,HU,16.7,215,74.6,959,8.6,111,"1,465",17.1,703,"23,380",0.8,Jett,297,497,50.9,1.16,161.2
Rayness#bees,Platinum 1,50,0.9,130.2,PT,11.7,132,78,877,10.3,116,757,10.3,383,"11,834",0.8,Reyna,149,267,50.9,1.18,162.4
VLK Nikuu#heyy,Ascendant 2,53.2,1.05,136.9,AU,24.6,209,72.5,615,2.8,24,"1,445",20.9,740,"22,432",0.7,Viper,155,269,54.6,0.99,132.9
Trica Bejoan#DUTCH,Ascendant 1,59.1,1.18,158.5,NL,16.2,218,76.2,1024,7.5,101,"1,122",12.9,575,"19,183",0.8,Reyna,269,457,51.4,1.1,158.8
AaronHasMoney#Gang,Platinum 3,58.8,1.13,163,US,19.6,228,74.2,861,6.2,72,"2,942",16,"1,429","44,981",0.7,Reyna,584,"1,011",47.4,1.08,155.4
TGS itzy#TTV,Ascendant 2,61.6,1.26,151.8,AU,15.1,210,71.7,1000,13.3,185,406,20.5,219,"6,579",0.8,Reyna,83,146,54.8,1.17,156.8
